weekday,date,category,number,desc
Monday,2017-07-24,misc,9,orientation
Tuesday,2017-07-25,misc,9,setup
Wednesday,2017-07-26,misc,9,team outing
Thursday,2017-07-27,misc,9,setup
Friday,2017-07-28,misc,9,setup
Saturday,2017-07-29,off,0,weekend
Sunday,2017-07-30,off,0,weekend
Monday,2017-07-31,other,8,dependency on other team
Tuesday,2017-08-01,other,8,dependency on other team
Wednesday,2017-08-02,other,8,dependency on other team
Thursday,2017-08-03,other,8,dependency on other team
Friday,2017-08-04,other,8,dependency on other team
Saturday,2017-08-05,off,0,weekend
Sunday,2017-08-06,off,0,weekend
Monday,2017-08-07,multi-threading,7,toctou
Tuesday,2017-08-08,misc,9,company outing
Wednesday,2017-08-09,multi-threading,7,toctou
Thursday,2017-08-10,misc,9,volunteering event
Friday,2017-08-11,multi-threading,7,toctou
Saturday,2017-08-12,off,0,weekend
Sunday,2017-08-13,off,0,weekend
Monday,2017-08-14,multi-threading,7,toctou
Tuesday,2017-08-15,multi-threading,7,toctou
Wednesday,2017-08-16,resource,3,null pointer bug; probs caused it myself tbh
Thursday,2017-08-17,misc,9,design tests
Friday,2017-08-18,misc,9,design tests
Saturday,2017-08-19,off,0,weekend
Sunday,2017-08-20,off,0,weekend
Monday,2017-08-21,logic bug,2,pointer not reinitialized
Tuesday,2017-08-22,load condition,5,unavailable resource
Wednesday,2017-08-23,load condition,5,unavailable resource
Thursday,2017-08-24,control flow,4,mishandling exception
Friday,2017-08-25,misc,9,training
Saturday,2017-08-26,off,0,weekend
Sunday,2017-08-27,off,0,weekend
Monday,2017-08-28,multi-threading,7,race condition
Tuesday,2017-08-29,other,8,dependency on other team
Wednesday,2017-08-30,multi-threading,7,race condition
Thursday,2017-08-31,multi-threading,7,race condition
Friday,2017-09-01,multi-threading,7,race condition
Saturday,2017-09-02,off,0,weekend
Sunday,2017-09-03,off,0,weekend
Monday,2017-09-04,off,0,holiday
Tuesday,2017-09-05,misc,7,race condition
Wednesday,2017-09-06,misc,9,training
Thursday,2017-09-07,misc,9,training
Friday,2017-09-08,misc,9,training
Saturday,2017-09-09,off,0,weekend
Sunday,2017-09-10,off,0,weekend
Monday,2017-09-11,resource,3,incorrect initialization
Tuesday,2017-09-12,resource,3,incorrect initialization
Wednesday,2017-09-13,ui,1,translation bug
Thursday,2017-09-14,resource,3,null pointer bug
Friday,2017-09-15,resource,3,null pointer bug
Saturday,2017-09-16,off,0,weekend
Sunday,2017-09-17,off,0,weekend
Monday,2017-09-18,ui,1,interface bug
Tuesday,2017-09-19,ui,1,interface bug
Wednesday,2017-09-20,ui,1,interface bug
